datasetName,maxDepth,tree1_data1,tree1_data2,tree2_data1,tree2_data2
adult_sample,1,0.805527123849,0.780737704918,0.804503582395,0.782786885246
adult_sample,2,0.808597748209,0.809426229508,0.249744114637,0.813524590164
adult_sample,3,0.816786079836,0.850102669405,0.801432958035,0.852156057495
adult_sample,4,0.822927328557,0.794661190965,0.787103377687,0.784394250513
adult_sample,5,0.822927328557,0.84052532833,0.792221084954,0.84052532833
car,1,0.700231481481,0.710648148148,0.700231481481,0.710648148148
car,2,0.777777777778,0.783564814815,0.774305555556,0.789351851852
car,3,0.824074074074,0.809027777778,0.824074074074,0.815972222222
car,4,0.894097222222,0.903935185185,0.889467592593,0.915509259259
car,5,0.96412037037,0.966981132075,0.938078703704,0.982311320755
iris,1,0.666666666667,0.693333333333,0.666666666667,0.693333333333
iris,2,0.96,0.973333333333,0.946666666667,0.986666666667
iris,3,0.973333333333,0.959459459459,0.953333333333,0.972972972973
iris,4,0.98,0.959459459459,0.946666666667,1.0
iris,5,1.0,1.0,0.966666666667,1.0
lung-cancer,1,0.59375,0.6,0.375,0.666666666667
lung-cancer,2,0.625,0.571428571429,0.4375,0.714285714286
lung-cancer,3,0.625,0.642857142857,0.5625,1.0
lung-cancer,4,0.6875,0.428571428571,0.53125,1.0
lung-cancer,5,0.78125,0.538461538462,0.53125,1.0
tic_tac_toe,1,0.699373695198,0.68267223382,0.699373695198,0.68267223382
tic_tac_toe,2,0.705636743215,0.690376569038,0.703549060543,0.696652719665
tic_tac_toe,3,0.769311064718,0.779874213836,0.755741127349,0.758909853249
tic_tac_toe,4,0.831941544885,0.82264957265,0.745302713987,0.856837606838
tic_tac_toe,5,0.918580375783,0.907284768212,0.83611691023,0.933774834437
voting,1,0.95632183908,0.923766816143,0.95632183908,0.923766816143
voting,2,0.95632183908,0.956896551724,0.95632183908,0.956896551724
voting,3,0.963218390805,0.913357400722,0.95632183908,0.927797833935
voting,4,0.963218390805,0.892156862745,0.928735632184,0.90522875817
voting,5,0.972413793103,0.866071428571,0.937931034483,0.895833333333
